Date,Open,High,Low,Close,Shares Traded,Turnover
18-Jun-08,6441.5,6455.2,6182.35,6200.55,17471699,976.73
19-Jun-08,6159.35,6159.35,5933.9,5957.25,11988756,691.99
20-Jun-08,6003.3,6009.4,5731.25,5758.6,19086336,1070.28
23-Jun-08,5686.55,5737.05,5555.45,5593.75,15482661,759.93
24-Jun-08,5644.15,5693.65,5441.65,5489.85,15912479,745.77
25-Jun-08,5382.3,5521.15,5282.85,5480.7,25153016,1205.34
26-Jun-08,5536.15,5600.3,5425.75,5512.15,22761965,1072.84
27-Jun-08,5343.9,5343.9,5183.2,5210.9,18931387,960.14
30-Jun-08,5214.1,5214.1,4996.85,5027.05,18914930,902.11
01-Jul-08,5042.1,5063.2,4684.05,4732.85,19777918,952.7
02-Jul-08,4725,5077.1,4633.95,5025.75,25634084,1194.71
03-Jul-08,4993.5,4993.5,4721.75,4851.35,31235058,1386.01
04-Jul-08,4834,5037.1,4796.3,4990.9,23139703,1109.65
07-Jul-08,5009.1,5241.4,5009.1,5075.6,17205026,898.34
08-Jul-08,4951.55,5174.45,4843.6,5106.8,18061817,916.44
09-Jul-08,5214.6,5387,5214.6,5341.45,20944953,1132.72
10-Jul-08,5251.45,5363.55,5210.05,5339,21127155,1072.06
11-Jul-08,5361.4,5404.65,5175.05,5240.7,20644967,1071.59
14-Jul-08,5179.95,5322.2,5123.15,5207.75,20149232,1062.73
15-Jul-08,5124.85,5124.85,4790,4838.95,23162976,1205.52
16-Jul-08,4837.6,4928.35,4676.45,4726.45,20035962,963.07
17-Jul-08,4906.35,5066.45,4872.45,5034.75,24791186,1365.45
18-Jul-08,5109.3,5418.4,5103.2,5389.15,29016795,1661.98
21-Jul-08,5448.2,5614.85,5406.3,5601.5,22922593,1268
22-Jul-08,5594.8,5859,5573.05,5793.7,27958899,1591.95
23-Jul-08,6033.05,6369.6,6033.05,6343.15,32131885,1825.1
24-Jul-08,6445.3,6468.4,6103.1,6213.6,27782866,1810.7
25-Jul-08,6044.6,6046.9,5881.75,5917.25,27314690,1710.79
28-Jul-08,5900.3,5987.2,5842.7,5919.15,27319427,1697.33
29-Jul-08,5767,5817,5394.95,5422.15,37863989,2040.73
30-Jul-08,5522.75,5737.95,5522.75,5719.45,24952416,1437.67
31-Jul-08,5762.4,5762.4,5573.6,5730.05,21696392,1217.54
01-Aug-08,5655.35,5989.45,5546.9,5961.9,26158767,1561.49
04-Aug-08,5932.45,6089.6,5905.7,5992.4,21841485,1269.66
05-Aug-08,5888.85,6412.15,5888.85,6371.7,44506812,2305.78
06-Aug-08,6544.75,6725.7,6300.5,6328.2,49030286,2734.34
07-Aug-08,6281.5,6442.55,6281.5,6363.15,22823933,1453.68
08-Aug-08,6295.7,6488.25,6179.05,6447.5,28857669,1872.84
11-Aug-08,6574.5,6743.65,6574.5,6723.2,27412959,1889.21
12-Aug-08,6650.2,6754.45,6433.8,6490.8,25205418,1617.92
13-Aug-08,6403.85,6483.2,6318.05,6370.75,26565723,1652.62
14-Aug-08,6305.1,6305.1,6010.05,6030.05,24632179,1492.33
18-Aug-08,5999.15,6114.15,5940.8,6015.05,23961119,1482.05
19-Aug-08,5928.95,6027.9,5874.1,5992.4,19042957,1061.29
20-Aug-08,6039.9,6090.65,5985.55,6026.3,16961069,1012.56
21-Aug-08,6001.65,6002.2,5692.65,5711.55,16034113,986.53
22-Aug-08,5671.6,5803.6,5649.9,5776.05,20267917,1276.1
25-Aug-08,5897.2,5995.6,5842.3,5860.8,14794129,899.75
26-Aug-08,5801.1,5957.15,5770.9,5943.2,19817779,1256.02
27-Aug-08,5978.9,5987.35,5809.3,5823.55,16257738,1013.67
28-Aug-08,5817.8,5848.5,5686.6,5721.15,21825421,1232.14
29-Aug-08,5828,6112.25,5828,6102.05,29625526,1729.13
01-Sep-08,6070.9,6178.3,5941.45,6128.85,19990005,1198.15
02-Sep-08,6139.45,6624,6139.45,6508.9,41533639,2565.8
04-Sep-08,6439.85,6528.5,6324.25,6494.65,37190165,2387.12
05-Sep-08,6318.25,6388.7,6259.15,6288.6,36907909,2243.37
08-Sep-08,6608,6631.95,6522.05,6538.85,27267108,1818.06
09-Sep-08,6469.95,6506.35,6400.15,6441.35,24502978,1613.38
10-Sep-08,6401.4,6485.3,6328.65,6427.55,33865064,1936.57
11-Sep-08,6342.8,6431.95,6246.55,6332.25,26110270,1511.84
12-Sep-08,6405.65,6414.35,6168.8,6194.15,27959245,1777.01
15-Sep-08,6006.7,6031.4,5758.45,5997.65,26429547,1567.09
16-Sep-08,5783.7,6168.9,5754.35,6132.95,43957774,2547.26
17-Sep-08,6169.95,6169.95,5785.9,5912.5,47794913,2711.49
18-Sep-08,5692.65,6101.8,5551.7,6077.2,39785831,2262.68
19-Sep-08,6281.55,6357.2,6141.45,6312.05,37883512,2345.83
22-Sep-08,6396.2,6396.2,6256.95,6303.9,27367205,1668.59
23-Sep-08,6147.5,6258.85,6009.15,6033.35,22570207,1390.33
24-Sep-08,6091.65,6203.2,6059.2,6109.65,26487946,1604.18
25-Sep-08,6131.55,6146.45,5969.7,6080.2,32915649,1922.11
26-Sep-08,6070.6,6070.6,5797.5,5828.6,30864104,1786
29-Sep-08,5863.05,5863.05,5432.2,5538.75,41871816,2167.56
30-Sep-08,5447.65,5875.25,5296.6,5803.55,44613275,2392.13
01-Oct-08,5875.55,6040.15,5671.7,5982.4,37963245,2072.4
03-Oct-08,5920.7,6017.3,5761.5,5793.35,33607389,1864.92
06-Oct-08,5702.85,5704.25,5522.85,5560.55,27222601,1421.26
07-Oct-08,5713.25,5798.9,5376.1,5457.55,35003541,1989.99
08-Oct-08,5336,5336,4918.3,5222.6,38559873,2095.46
10-Oct-08,4890,5112.25,4662.2,4938,68117787,3073.5
13-Oct-08,5034.65,5557.05,5034.65,5496.75,52287892,2502.09
14-Oct-08,5694.15,5799,5521.3,5578.4,43874839,2402.31
15-Oct-08,5452.45,5551.2,5348.8,5425.25,28590966,1524.52
16-Oct-08,5222,5565.35,5145.8,5481.65,47858873,2465.89
17-Oct-08,5557.95,5591.4,5113.45,5183.55,38775124,1887.3
20-Oct-08,5237.6,5477.45,5113.15,5284.2,32016200,1634.83
21-Oct-08,5373.65,5478.4,5296.8,5414.5,31352689,1671.37
22-Oct-08,5339.25,5364.1,5075.8,5095.75,32685697,1503.22
23-Oct-08,4904.55,5189.9,4880.6,4932.4,38522926,1868.76
24-Oct-08,4769.7,4796.65,4229.65,4310.05,46380256,2142.06
27-Oct-08,4280.55,4286.4,3799.35,4092.9,38331693,1556.66
28-Oct-08,4346.75,4382,4269.4,4315.75,4598269,200.08
29-Oct-08,4451.7,4459.4,4236,4280.45,36769923,1581.62
31-Oct-08,4364.35,4621.65,4364.35,4521.7,39253754,1789.37
03-Nov-08,4791.8,4902.2,4779.6,4875.7,32159305,1542.23
04-Nov-08,4884.3,5254.6,4807.1,5220.7,34529347,1772.34
05-Nov-08,5355.45,5431.9,5078.15,5121.3,41529364,2117.18
06-Nov-08,4949.75,5137.4,4873.45,4940,39501163,1907.64
07-Nov-08,4894.25,5097.4,4804.5,5043.55,28864619,1487.23
10-Nov-08,5097.85,5274.85,5086.05,5261.15,24048303,1290.37
11-Nov-08,5207.8,5207.8,4921.95,4945.7,21602526,1148.78
12-Nov-08,4875.1,4970.35,4685.85,4748.15,33481005,1744.3
14-Nov-08,4866.5,4926.4,4668.05,4719.4,32808328,1642.1
17-Nov-08,4736.25,4736.25,4364.35,4545.3,33595890,1559.89
18-Nov-08,4474.5,4474.5,4285,4346.75,31616710,1469.15
19-Nov-08,4366,4520.65,4213.5,4233.7,31623108,1442.72
20-Nov-08,4078.1,4181.7,3972.15,4086.9,33484155,1331.23
21-Nov-08,4083.5,4376.9,4052.1,4300.7,39614162,1685.18
24-Nov-08,4274.3,4355.6,4095.95,4164.75,33246383,1527.24
25-Nov-08,4289.4,4328.7,4032.55,4053.2,31539253,1391.11
26-Nov-08,4086.5,4298.35,4005.35,4267.9,34507088,1596.08
28-Nov-08,4148.75,4313.25,4148.75,4291.15,32890980,1542.11
01-Dec-08,4317.8,4441.2,4107.7,4124.3,33170640,1622.52
02-Dec-08,3989,4123.25,3919,4099.3,30458899,1383.07
03-Dec-08,4161.95,4245.5,4068.3,4220.35,28606226,1341.97
04-Dec-08,4224.95,4460.75,4224.95,4446.65,33371242,1556.52
05-Dec-08,4442.95,4611.45,4308.55,4357,44104951,2026.44
08-Dec-08,4502.05,4599.5,4407.2,4429.85,30982250,1513.54
10-Dec-08,4517.65,4573,4423.45,4550.75,36320191,1774.74
11-Dec-08,4557.05,4681.1,4485.2,4597.15,33842302,1612.27
12-Dec-08,4502.55,4687.5,4411.6,4655.3,27857807,1267.78
15-Dec-08,4714.95,4832.65,4685.4,4707.5,25246817,1398.53
16-Dec-08,4698.5,4836.5,4677.3,4820.65,26277062,1385.72
17-Dec-08,4868.5,4929.55,4769.8,4789.65,32148692,1618.12
18-Dec-08,4785.2,5142.9,4782.6,5122.95,35090804,1865.92
19-Dec-08,5091.15,5226.85,5069.55,5144.15,35191741,1828.73
22-Dec-08,5119.25,5213.3,5010.25,5036.5,23644750,1200.34
23-Dec-08,4986.55,5019,4817.5,4858.35,23353110,1149.08
24-Dec-08,4824.95,4962.1,4793.7,4930.25,22090485,1106.14
26-Dec-08,4964.35,5041,4770.2,4789.45,17160706,923.07
29-Dec-08,4774.7,4969.1,4684.8,4953.95,20466672,1062.13
30-Dec-08,4988.4,5112.95,4928.45,5062.2,23301763,1251.81
31-Dec-08,5094.35,5119.35,4981.25,5001.55,20431839,1101.35
01-Jan-09,5019.2,5135.15,5019.2,5116.55,13677152,726.21
02-Jan-09,5154.2,5258.65,5103.6,5195.1,20918054,1079.2
05-Jan-09,5273.45,5371.1,5273.45,5359.4,24140864,1246.26
06-Jan-09,5333.5,5448.8,5276.4,5395.3,32981039,1838.12
07-Jan-09,5416.35,5440.55,4954,4984.55,40502617,2217.35
09-Jan-09,4891.8,5056.95,4840,4906.7,29878696,1550.83
